User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,108.46,Station_391,Houston,01/01/2024 0:00,01/01/2024 0:39,60.71,0.59,36.39,13.09,Evening,Tuesday,29.37,86.12,293.6,27.95,2,DC Fast Charger,Commuter
User_2,Hyundai Kona,100,Station_428,San Francisco,01/01/2024 1:00,01/01/2024 3:01,12.34,3.13,30.68,21.13,Morning,Monday,10.12,84.66,112.11,14.31,3,Level 1,Casual Driver
User_3,Chevy Bolt,75,Station_181,San Francisco,01/01/2024 2:00,01/01/2024 4:48,19.13,2.45,27.51,35.67,Morning,Thursday,6.85,69.92,71.8,21,2,Level 2,Commuter
User_4,Hyundai Kona,50,Station_327,Houston,01/01/2024 3:00,01/01/2024 6:42,79.46,1.27,32.88,13.04,Evening,Saturday,83.12,99.62,199.58,38.32,1,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50,Station_108,Los Angeles,01/01/2024 4:00,01/01/2024 5:46,19.63,2.02,10.22,10.16,Morning,Saturday,54.26,63.74,203.66,-7.83,1,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50,Station_335,San Francisco,01/01/2024 5:00,01/01/2024 7:10,43.18,1.17,14.33,36.9,Evening,Saturday,75.22,71.98,143.68,-5.27,0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85,Station_162,Houston,01/01/2024 6:00,01/01/2024 7:53,36.86,3.54,26.19,22.21,Evening,Friday,60.75,70.8,81.34,27.55,4,Level 2,Commuter
User_8,Chevy Bolt,75,Station_302,Los Angeles,01/01/2024 7:00,01/01/2024 10:42,51.47,2.66,26.7,9.8,Afternoon,Monday,56.2,63.79,116.54,-4.42,0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62,Station_493,Los Angeles,01/01/2024 8:00,01/01/2024 9:21,43.59,1.72,14.29,32.47,Evening,Wednesday,33.47,92.96,208.26,22.52,4,Level 1,Commuter
User_10,Hyundai Kona,50,Station_452,Chicago,01/01/2024 9:00,01/01/2024 12:44,78.87,2.03,11.76,21.31,Morning,Wednesday,27.4,70.05,54.01,27.51,2.83,DC Fast Charger,Commuter
User_11,BMW i3,50,Station_206,Los Angeles,01/01/2024 10:00,01/01/2024 13:59,18.21,2.65,10.31,38.22,Night,Thursday,76.09,82.27,64.63,0.5,3,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,85,Station_78,San Francisco,01/01/2024 11:00,01/01/2024 14:55,22.56,2.06,4.46,14.05,Evening,Sunday,14.62,85.86,194.76,34.26,0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,100,Station_16,San Francisco,01/01/2024 12:00,01/01/2024 13:00,34.26,3.07,5.52,10.97,Afternoon,Monday,19.21,51.63,249.13,23.66,0,Level 2,Casual Driver
User_14,Nissan Leaf,75,Station_327,Houston,01/01/2024 13:00,01/01/2024 15:54,16.56,3.59,19.77,37.44,Morning,Friday,25.78,69.2,159.23,34.11,7,Level 2,Commuter
User_15,BMW i3,85,Station_96,Houston,01/01/2024 14:00,01/01/2024 17:32,12.93,3.42,24.21,18.55,Afternoon,Monday,71.68,63.71,155.36,39.51,4,Level 1,Casual Driver
User_16,Nissan Leaf,100,Station_147,Los Angeles,01/01/2024 15:00,01/01/2024 17:19,27.35,2.7,11.11,33.09,Evening,Monday,10.68,72.4,247.66,-8.3,1.54,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,97.68,Station_2,New York,01/01/2024 16:00,01/01/2024 18:02,24.73,3.46,49.4,17.49,Evening,Thursday,67.59,89.94,237.31,4.42,7,DC Fast Charger,Commuter
User_18,Hyundai Kona,50,Station_10,Chicago,01/01/2024 17:00,01/01/2024 20:13,23.82,0.85,6.61,6.43,Evening,Friday,57.6,74.96,22.01,18.41,6,Level 2,Casual Driver
User_19,Tesla Model 3,100,Station_434,New York,01/01/2024 18:00,01/01/2024 21:03,42.64,0.81,20.49,25.08,Evening,Saturday,55.52,52.71,280.86,37.43,0,Level 1,Long-Distance Traveler
User_20,BMW i3,50,Station_125,Los Angeles,01/01/2024 19:00,01/01/2024 20:22,48.48,2.58,45.29,7.09,Morning,Wednesday,12.75,116.1,243.26,9.2,3,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,50,Station_81,Los Angeles,01/01/2024 20:00,01/01/2024 22:54,50.28,3.17,30.49,28.87,Night,Tuesday,16.55,77.94,15.42,33.98,3,Level 2,Casual Driver
User_22,Hyundai Kona,62,Station_485,New York,01/01/2024 21:00,01/01/2024 22:55,59.14,2.93,,34.85,Evening,Sunday,71.53,75.97,219.63,-2.76,5,Level 1,Commuter
User_23,BMW i3,75,Station_140,Chicago,01/01/2024 22:00,01/02/2024 1:02,49.2,2.56,19.19,14.86,Afternoon,Saturday,49.02,64.48,298.19,39.96,4.26,DC Fast Charger,Long-Distance Traveler
User_24,Tesla Model 3,100,Station_326,New York,01/01/2024 23:00,01/01/2024 23:31,68.45,2.07,49.71,38.41,Morning,Friday,19.23,74.01,280.92,3.58,5,DC Fast Charger,Commuter
User_25,Tesla Model 3,100,Station_150,Houston,01/02/2024 0:00,01/02/2024 1:55,27.6,0.96,11.24,24.04,Morning,Wednesday,65.49,65.35,173.47,35.98,4,Level 1,Long-Distance Traveler
User_26,Chevy Bolt,75,Station_288,San Francisco,01/02/2024 1:00,01/02/2024 3:42,40.18,3.6,12.32,38.76,Morning,Saturday,80.34,80,82.75,21.54,1,DC Fast Charger,Commuter
User_27,Chevy Bolt,75,Station_361,Houston,01/02/2024 2:00,01/02/2024 2:33,43.49,3.65,36.18,27.45,Afternoon,Thursday,88.75,87.82,80.91,29.87,0.36,Level 1,Commuter
User_28,Nissan Leaf,50,Station_340,San Francisco,01/02/2024 3:00,01/02/2024 6:13,10.34,1.55,45.78,9.86,Night,Sunday,98.33,94.5,162.69,5.5,0,Level 1,Long-Distance Traveler
User_29,BMW i3,75,Station_129,Los Angeles,01/02/2024 4:00,01/02/2024 4:35,31.68,2.44,48.65,25.62,Afternoon,Friday,34.73,54.4,,20.38,3,Level 2,Casual Driver
User_30,BMW i3,75,Station_438,Chicago,01/02/2024 5:00,01/02/2024 7:58,56.59,3.15,45.81,33.13,Afternoon,Friday,29.21,85.01,186.16,12.33,0,DC Fast Charger,Casual Driver
User_31,Chevy Bolt,100,Station_239,New York,01/02/2024 6:00,01/02/2024 9:54,19.47,1.44,7.04,36.95,Afternoon,Wednesday,31.32,78.06,,8.35,2,DC Fast Charger,Casual Driver
User_32,BMW i3,100,Station_58,Chicago,03/02/2024 7:00,03/02/2024 9:27,38.29,2.01,12.06,17.01,Evening,Wednesday,75.64,65.62,238.91,2.27,6,Level 1,Commuter
User_33,BMW i3,100,Station_198,New York,01/02/2024 8:00,01/02/2024 9:58,16.14,1.31,21.52,26.44,Evening,Monday,23.6,88.2,35.5,39.38,1,Level 2,Casual Driver
User_34,Tesla Model 3,62,Station_211,Houston,01/02/2024 9:00,01/02/2024 12:03,60.07,1,7.65,18.03,Afternoon,Monday,22.88,51.43,46.36,13.99,1,Level 2,Casual Driver
User_35,Chevy Bolt,75,Station_402,Houston,04/02/2024 10:00,04/02/2024 13:32,57.72,1.87,4.49,35.5,Afternoon,Friday,41.87,79.65,157.61,28.43,1.81,DC Fast Charger,Long-Distance Traveler
User_36,Hyundai Kona,75,Station_390,New York,04/02/2024 11:00,04/02/2024 14:16,37.37,2.89,18.87,29.87,Evening,Tuesday,24.49,73.38,76.2,59.93,4,Level 1,Commuter
User_37,Chevy Bolt,75,Station_45,Chicago,05/02/2024 12:00,05/02/2024 15:10,39.94,3.47,28.63,15.86,Evening,Thursday,85.86,50.4,102.43,31.46,1,DC Fast Charger,Casual Driver
User_38,Hyundai Kona,75,Station_97,New York,01/02/2024 13:00,01/02/2024 13:43,73.39,1.04,38.45,15.88,Night,Wednesday,49.28,94.6,42.1,33.93,6,DC Fast Charger,Long-Distance Traveler
User_39,Tesla Model 3,85,Station_279,Los Angeles,06/02/2024 14:00,06/02/2024 15:25,61.52,1.28,12.51,26.51,Afternoon,Monday,87.98,79.39,141.24,5.76,7,Level 2,Commuter
User_40,Nissan Leaf,100,Station_23,Houston,01/02/2024 15:00,01/02/2024 16:50,68.18,3.24,23.31,8.5,Morning,Thursday,17.04,56.08,130.38,-3.19,2,Level 2,Long-Distance Traveler
User_41,BMW i3,79.8,Station_410,Los Angeles,08/17/2024 21:00,08/17/2024 23:47,67.52,1.96,6.9,29.22,Night,Sunday,80.86,62.53,119.63,35.23,1.97,Level 2,Casual Driver
User_42,Tesla Model 3,100,Station_461,Houston,09/02/2024 17:00,09/02/2024 18:15,39.4,2.4,20.46,26.62,Morning,Saturday,28.25,96.29,111.02,19.78,2.94,Level 2,Commuter
User_43,BMW i3,85,Station_391,Houston,11/18/2024 20:00,11/18/2024 22:54,12.05,1.37,29.47,32.04,Night,Saturday,36.64,66.98,83.25,39.42,4,Level 1,Commuter
User_44,Nissan Leaf,48.8,Station_335,San Francisco,01/02/2024 19:00,01/02/2024 19:45,77.05,3.03,8.39,6.36,Afternoon,Friday,15.14,84.34,144.01,22.07,1,DC Fast Charger,Casual Driver
User_45,Nissan Leaf,75,Station_44,Los Angeles,01/02/2024 20:00,01/02/2024 22:29,,3.3,5.11,30.04,Morning,Wednesday,15.22,132.95,49.38,32.01,3.68,Level 2,Long-Distance Traveler
User_46,Tesla Model 3,62,Station_27,Los Angeles,01/02/2024 21:00,01/02/2024 22:53,46.81,3.88,16.92,10.61,Evening,Saturday,49.3,90.97,210.17,-0.04,1,DC Fast Charger,Commuter
User_47,Nissan Leaf,75,Station_282,San Francisco,01/02/2024 22:00,01/03/2024 1:06,67.48,2.11,49.6,19.03,Night,Sunday,63.04,81.75,97.45,3.19,5,Level 1,Commuter
User_48,Hyundai Kona,62,Station_97,Chicago,01/02/2024 23:00,01/02/2024 23:37,30.71,1.63,6.35,18.13,Morning,Wednesday,76.12,76.68,18.93,27.9,0,Level 2,Commuter
User_49,Nissan Leaf,85,Station_463,Los Angeles,01/03/2024 0:00,01/03/2024 1:57,,1.74,14.15,13.11,Night,Monday,77.81,87.95,212.94,-4.45,1,Level 1,Casual Driver
User_50,BMW i3,100,Station_36,New York,01/03/2024 1:00,01/03/2024 3:40,8.71,2.21,49.28,9.64,Afternoon,Saturday,27.2,86.89,170.48,5.38,6,Level 2,Long-Distance Traveler
User_51,BMW i3,85,Station_109,San Francisco,01/03/2024 2:00,01/03/2024 2:48,9.07,0.51,40.18,24.5,Morning,Tuesday,13.87,93.63,226.22,30.69,2.62,DC Fast Charger,Casual Driver
User_52,BMW i3,50,Station_55,Los Angeles,01/03/2024 3:00,01/03/2024 5:06,58.73,1.89,13.18,28.1,Morning,Saturday,83.86,71.37,57.38,1.94,3,Level 1,Commuter
User_53,BMW i3,50,Station_192,Chicago,01/03/2024 4:00,01/03/2024 5:35,65.99,3.31,46.28,18.85,Morning,Wednesday,17.39,73.44,235,-7.72,0,Level 2,Long-Distance Traveler
User_54,Hyundai Kona,62,Station_219,Los Angeles,01/03/2024 5:00,01/03/2024 6:48,75,1.91,35.93,34.09,Night,Tuesday,87.29,80.42,51.83,17.81,5,DC Fast Charger,Long-Distance Traveler
User_55,Chevy Bolt,100,Station_185,Houston,01/03/2024 6:00,01/03/2024 7:55,17.77,3.31,34.46,9.8,Evening,Thursday,27.7,70.51,166.31,19.7,4,DC Fast Charger,Casual Driver
User_56,Tesla Model 3,76.88,Station_69,New York,01/03/2024 7:00,01/03/2024 9:33,50.27,1.68,36.3,38.94,Evening,Saturday,13.49,82.7,133.99,3.04,0,DC Fast Charger,Casual Driver
User_57,BMW i3,69.88,Station_317,San Francisco,01/03/2024 8:00,01/03/2024 11:51,76.45,3.87,11.34,30.19,Evening,Wednesday,63.67,55.39,191.94,10.42,2,Level 2,Commuter
User_58,Nissan Leaf,62,Station_130,Houston,01/03/2024 9:00,01/03/2024 12:59,77.86,0.92,47.15,28.3,Afternoon,Saturday,56.92,57.47,129.39,38.47,3,DC Fast Charger,Casual Driver
User_59,BMW i3,100,Station_55,Chicago,01/03/2024 10:00,01/03/2024 12:59,21.89,1.29,25.37,8.64,Morning,Saturday,80.23,64.67,148.42,5.07,7,DC Fast Charger,Casual Driver
User_60,Nissan Leaf,100,Station_378,Houston,01/03/2024 11:00,01/03/2024 12:15,71.28,2.41,40.62,6.74,Evening,Wednesday,26.16,89.92,140.47,33.06,5,Level 2,Casual Driver
User_61,Nissan Leaf,62,Station_97,Houston,01/03/2024 12:00,01/03/2024 14:22,21.83,2.08,26.51,36.07,Evening,Tuesday,33.26,51.5,48.04,38.66,7,Level 1,Casual Driver
User_62,BMW i3,75,Station_336,Chicago,01/03/2024 13:00,01/03/2024 15:00,62.72,2.12,31,30.04,Morning,Monday,82.84,72.83,282.94,32.85,7,DC Fast Charger,Casual Driver
User_63,Hyundai Kona,124.32,Station_87,Houston,01/03/2024 14:00,01/03/2024 16:50,46.2,0.65,47.88,30.86,Afternoon,Sunday,53.01,59.9,25.03,6.17,1,Level 2,Commuter
User_64,Nissan Leaf,100,Station_294,San Francisco,01/03/2024 15:00,01/03/2024 16:02,29.35,2.48,6.87,24.65,Night,Saturday,85.33,67.48,127.02,34.06,0,Level 1,Long-Distance Traveler
User_65,Nissan Leaf,50,Station_119,Los Angeles,01/03/2024 16:00,01/03/2024 18:42,76.93,2.12,34.18,34.23,Night,Friday,27.17,92.14,295.89,7.94,2.59,DC Fast Charger,Casual Driver
User_66,BMW i3,62,Station_208,Houston,01/03/2024 17:00,01/03/2024 18:46,59.25,1.28,,12.22,Night,Thursday,77.04,91.83,167.3,35.27,7,Level 2,Long-Distance Traveler
User_67,Nissan Leaf,100,Station_334,San Francisco,01/03/2024 18:00,01/03/2024 21:04,37.06,1.61,15.23,37.88,Morning,Wednesday,7.52,67.8,98.15,16.48,2,Level 2,Long-Distance Traveler
User_68,Nissan Leaf,85,Station_413,Los Angeles,01/03/2024 19:00,01/03/2024 21:30,67.7,0.86,32.98,13.78,Afternoon,Saturday,22.49,86.78,81.28,-7.33,6,DC Fast Charger,Casual Driver
User_69,BMW i3,75,Station_154,Los Angeles,01/03/2024 20:00,01/03/2024 22:37,16.41,1.7,,21.67,Morning,Sunday,36.95,77.14,188.47,18.54,7,Level 1,Casual Driver
User_70,BMW i3,50,Station_35,Houston,01/03/2024 21:00,01/03/2024 22:47,67.01,3.61,4.09,14.42,Night,Monday,57.68,57.11,276.37,-2.72,4.12,Level 1,Long-Distance Traveler
User_71,Tesla Model 3,75,Station_79,San Francisco,01/03/2024 22:00,01/04/2024 1:01,70.62,3.28,26.07,15.47,Evening,Wednesday,86.23,57.97,23,34.85,2.77,Level 1,Commuter
User_72,Hyundai Kona,75,Station_67,Houston,01/03/2024 23:00,01/04/2024 0:36,61.13,0.95,23.28,37.15,Evening,Saturday,34.9,92.36,58.86,7.66,1,DC Fast Charger,Long-Distance Traveler
User_73,Hyundai Kona,85,Station_343,Chicago,01/04/2024 0:00,01/04/2024 2:24,22.88,1.57,29.99,10.71,Evening,Thursday,15.67,96.6,98.47,19.21,3,DC Fast Charger,Commuter
User_74,Nissan Leaf,59.83,Station_413,Los Angeles,01/04/2024 1:00,01/04/2024 2:32,12.89,0.58,40.88,15.2,Night,Friday,31.55,97.46,183.17,28.64,2,Level 1,Long-Distance Traveler
User_75,Hyundai Kona,85,Station_34,Houston,01/04/2024 2:00,01/04/2024 4:22,69.17,2.29,5.56,20.77,Afternoon,Wednesday,41.09,74.4,276.57,20.01,4,Level 1,Casual Driver
User_76,Nissan Leaf,50,Station_97,Los Angeles,01/04/2024 3:00,01/04/2024 5:03,,3.52,9.57,24.79,Night,Saturday,51.28,93.2,171.9,-5.28,4,Level 1,Commuter
User_77,Tesla Model 3,100,Station_169,San Francisco,01/04/2024 4:00,01/04/2024 5:17,49.28,3.87,49.41,39.93,Morning,Tuesday,86.33,75.5,246.34,30.08,0,Level 1,Long-Distance Traveler
User_78,BMW i3,75,Station_169,New York,01/04/2024 5:00,01/04/2024 8:40,31.22,3.34,30.03,17.6,Afternoon,Monday,39.52,71.27,242.49,39.83,3,Level 2,Commuter
User_79,BMW i3,100,Station_151,Houston,01/04/2024 6:00,01/04/2024 9:55,30.65,1.03,28.52,39.32,Evening,Friday,38.12,81.2,12.15,-4.93,1,DC Fast Charger,Casual Driver
User_80,BMW i3,75,Station_71,Houston,01/04/2024 7:00,01/04/2024 7:41,59.99,3.73,23.42,15.68,Afternoon,Wednesday,88.1,96.13,281.76,15.06,0,Level 1,Commuter
User_81,Hyundai Kona,48.05,Station_3,Los Angeles,01/04/2024 8:00,01/04/2024 11:05,51.67,0.69,46.6,18.01,Afternoon,Saturday,55.07,62.94,222.27,2.55,7,Level 2,Casual Driver
User_82,Tesla Model 3,50,Station_314,San Francisco,01/04/2024 9:00,01/04/2024 12:21,35.91,2.73,25.6,19.28,Night,Friday,48.89,43.05,93.86,33.08,6,Level 1,Casual Driver
User_83,Hyundai Kona,85,Station_32,Chicago,01/04/2024 10:00,01/04/2024 13:20,41.61,0.81,,29.53,Afternoon,Tuesday,55,97.26,94.65,17.74,3,Level 1,Commuter
User_84,Hyundai Kona,62,Station_287,San Francisco,01/04/2024 11:00,01/04/2024 13:54,32.83,3.41,44.49,39.67,Night,Wednesday,26.65,63.71,279.9,5.8,1,Level 2,Casual Driver
User_85,Tesla Model 3,50,Station_82,Houston,01/04/2024 12:00,01/04/2024 13:09,57.92,1.26,12.54,19.82,Morning,Friday,49.87,54.26,64.14,1.83,1,Level 1,Casual Driver
User_86,Tesla Model 3,100,Station_43,Chicago,01/04/2024 13:00,01/04/2024 16:26,21.66,1.89,32.95,18.03,Afternoon,Wednesday,78.43,97.73,170.56,10.4,3,Level 1,Casual Driver
User_87,Tesla Model 3,62,Station_391,San Francisco,01/04/2024 14:00,01/04/2024 15:54,41.01,3.37,45.32,18.07,Afternoon,Wednesday,73.62,83.05,103.79,-4.57,3,Level 2,Commuter
User_88,Tesla Model 3,62,Station_105,New York,01/04/2024 15:00,01/04/2024 16:26,79.82,2.61,13.01,35.97,Afternoon,Friday,86.11,69.4,274.02,10.69,2,Level 2,Casual Driver
User_89,BMW i3,85,Station_1,Los Angeles,01/04/2024 16:00,01/04/2024 17:56,33.07,1.47,30.34,15.55,Evening,Wednesday,105.03,83.02,164.68,-6.51,1,Level 2,Long-Distance Traveler
User_90,Chevy Bolt,75,Station_61,San Francisco,01/04/2024 17:00,01/04/2024 18:53,27.84,2.54,17,12.28,Night,Tuesday,47.99,85.87,79.35,7.52,7,Level 2,Casual Driver
User_91,Chevy Bolt,50,Station_270,San Francisco,01/04/2024 18:00,01/04/2024 21:41,28.44,1.08,42.43,13.78,Night,Friday,13.67,96.35,398.36,27.81,0,Level 2,Long-Distance Traveler
User_92,Tesla Model 3,62,Station_180,New York,01/04/2024 19:00,01/04/2024 22:52,68.57,2.93,5.45,15.89,Evening,Saturday,50.32,93.89,191.46,37.9,4,Level 1,Commuter
User_93,Chevy Bolt,85,Station_224,Houston,01/04/2024 20:00,01/04/2024 23:34,65.43,0.93,20.27,10.4,Night,Sunday,76.47,75.85,71.44,30.2,6,DC Fast Charger,Long-Distance Traveler
User_94,Chevy Bolt,75,Station_6,Los Angeles,01/04/2024 21:00,01/04/2024 23:30,71.62,3.52,31.27,21.26,Morning,Friday,51.79,64.55,16.68,-1.72,3,Level 2,Casual Driver
User_95,Tesla Model 3,85,Station_103,San Francisco,01/04/2024 22:00,01/05/2024 1:51,7.93,2.34,44.12,33.82,Evening,Tuesday,42.74,72.97,55.68,16.81,7,DC Fast Charger,Casual Driver
User_96,Chevy Bolt,24.6,Station_10,Chicago,01/04/2024 23:00,01/05/2024 0:43,,1.38,32.44,38.06,Night,Tuesday,48.33,85.07,,23.4,5,Level 1,Casual Driver
User_97,Hyundai Kona,75,Station_71,San Francisco,01/05/2024 0:00,01/05/2024 2:16,55.73,3.83,21.72,38.09,Morning,Tuesday,63.4,68.35,74.05,34.66,0,Level 2,Casual Driver
User_98,Nissan Leaf,85,Station_90,Los Angeles,01/05/2024 1:00,01/05/2024 3:33,31.05,0.69,28,6.25,Night,Saturday,47.16,66.19,,15.63,7,DC Fast Charger,Casual Driver
User_99,Nissan Leaf,62,Station_226,San Francisco,01/05/2024 2:00,01/05/2024 5:47,15.92,3.35,17.55,9.53,Evening,Saturday,80.2,73.22,117.79,15.44,0.93,DC Fast Charger,Casual Driver
User_100,Tesla Model 3,100,Station_158,New York,01/05/2024 3:00,01/05/2024 5:09,50.9,3.62,,28.34,Night,Sunday,54.45,60.56,10.44,30.04,7,DC Fast Charger,Commuter
User_101,BMW i3,77.3,Station_228,San Francisco,01/05/2024 4:00,01/05/2024 7:53,71.48,0.65,,11.36,Morning,Sunday,27.58,53.79,197.65,28.98,3,DC Fast Charger,Casual Driver
User_102,Tesla Model 3,100,Station_405,San Francisco,01/05/2024 5:00,01/05/2024 6:12,74.15,4.12,31.28,26,Morning,Wednesday,12.96,52.99,91.38,35.79,0,DC Fast Charger,Long-Distance Traveler
